	country_name	2003	2004	2005	2006	2007
0	Nigeria	3.83999991416931	3.80999994277954	3.76999998092651	3.69000005722046	3.61999988555908
1	Saudi Arabia			6.05000019073486	6.25	5.73000001907349
2	United States	5.98999977111816	5.53000020980835	5.07999992370605	4.61999988555908	4.61999988555908
3	Ghana	7.34000015258789	6.40000009536743	5.5	4.6399998664856	4.69000005722046
4	Central African Republic	4.48999977111816	4.44000005722046	4.38000011444092	4.26999998092651	4.17000007629395
5	Netherlands	3.58999991416931	4.65000009536743	5.86999988555908	5.0	4.15000009536743
6	South Africa	32.310001373291	29.4500007629395	29.1200008392334	28.3400001525879	26.5400009155273
7	Angola	3.88000011444092	3.84999990463257	3.80999994277954	3.73000001907349	3.66000008583069
8	France	8.3100004196167		8.48999977111816	8.44999980926514	7.65999984741211
9	Philippines	3.52999997138977	3.54999995231628		4.05000019073486	
10	Spain	11.2799997329712	11.0900001525879	9.14999961853027	8.44999980926514	8.22999954223633
11	Jordan	14.5			14.0	13.1000003814697
12	Germany	9.77999973297119	10.7299995422363	11.1700000762939	10.25	8.65999984741211
13	Syrian Arab Republic	10.2799997329712			8.17000007629395	
14	Zimbabwe	4.71999979019165	4.3899998664856	4.48000001907349	4.51999998092651	4.57000017166138
15	Sierra Leone	3.45000004768372	3.42000007629395	3.5	3.53999996185303	3.57999992370605
16	Israel	13.5100002288818			10.710000038147	
17	Benin	0.730000019073486	0.769999980926514	0.800000011920929	0.810000002384186	0.819999992847443
18	Iraq	9.0600004196167	9.01000022888184	8.93000030517578	8.77999973297119	8.64999961853027
19	Eswatini	26.3899993896484	26.9599990844727	27.4699993133545	27.8500003814697	28.2399997711182
20	Kenya	2.94000005722046	2.91000008583069	2.85999989509583	2.76999998092651	2.69000005722046
21	China	4.59999990463257	4.5	4.5	4.40000009536743	4.30000019073486
22	Liberia	2.32999992370605	2.29999995231628	2.26999998092651	2.19000005722046	
23	North America	6.1545871016693100			4.797206562456960	
24	Switzerland	4.11999988555908	4.32000017166138	4.44000005722046	4.0	3.65000009536743
25	Uganda	3.59999990463257		1.89999997615814	2.21000003814697	
26	New Zealand	4.75	4.01000022888184	3.80999994277954	3.85999989509583	3.66000008583069
27	Lebanon	8.01000022888184			8.61999988555908	8.97999954223633
28	Sudan	15.4799995422363	15.3999996185303	15.2799997329712	15.0699996948242	14.8800001144409
29	Australia	5.92999982833862	5.40000009536743	5.03000020980835	4.78000020980835	4.38000011444092
30	Trinidad and Tobago	3.72000002861023	3.79999995231628		4.03000020980835	4.17000007629395
31	India	5.76999998092651	5.71999979019165	5.65000009536743	5.51999998092651	5.40999984741211
32	United Arab Emirates	2.71000003814697	2.90000009536743	3.11999988555908	3.05999994277954	
33	Comoros			4.84000015258789	5.07000017166138	
34	Tunisia	14.5100002288818			12.5100002288818	
35	Bulgaria	13.7299995422363	12.039999961853	10.0799999237061	8.94999980926514	6.88000011444092
36	Malaysia	3.60999989509583		3.52999997138977	3.3199999332428	3.23000001907349
37	Kuwait		1.70000004768372		1.29999995231628	
38	Samoa		5.19000005722046			
39	Algeria		17.6499996185303		12.2700004577637	
40	Ireland		4.48999977111816	4.34000015258789	4.42000007629395	4.98000001907349
41	Lesotho		31.7700004577637	30.7800006866455	29.6900005340576	28.6499996185303
42	Haiti		13.0600004196167			
43	Jamaica		11.4399995803833	11.2600002288818		
44	Russian Federation		7.76000022888184	7.11999988555908	7.05999994277954	6.0
45	Senegal		7.78999996185303	8.92000007629395	10.0299997329712	9.89000034332275
46	Sweden		6.69000005722046			
47	Singapore		5.84000015258789	5.59000015258789	4.48000001907349	
48	Thailand		1.50999999046326	1.35000002384186	1.22000002861023	1.17999994754791
49	Puerto Rico		10.3100004196167		11.0100002288818	
50	Indonesia			7.94999980926514	7.55000019073486	8.0600004196167